#Bulk Export - Points as recorded,,,,,,,,
,HV3,HV3,HV3,HV3,HV3,HV3,HV3,HV3
,Ngaruroro at Chesterhope (NRWQN),Ngaruroro at Chesterhope (NRWQN),Ngaruroro at Chesterhope (NRWQN),Ngaruroro at Chesterhope (NRWQN),Ngaruroro at Chesterhope (NRWQN),Ngaruroro at Chesterhope (NRWQN),Ngaruroro at Chesterhope (NRWQN),Ngaruroro at Chesterhope (NRWQN)
,Water Temp.NRWQN,Turbidity (Form Neph).NRWQN,Dis Oxygen Sat.NRWQN,pH.25DegC.NRWQN,NO3+NO2 as N.NRWQN,P (Tot).NRWQN,Tot Coliforms.NRWQN,E Coli.NRWQN
Timestamp (UTC+12:00),Value (Â°C),Value (FNU),Value (%),Value (pH),Value (ppb),Value (ppb),Value (MPN/100ml),Value (MPN/100ml)
2019-01-08 13:50:00,24.600000000000023,4,115.6,8.5,113,15,866,7
2019-02-11 13:50:00,22.100000000000023,2.2,105.4,8.6,15,15,2419,30
2019-03-05 13:50:00,21.69999999999999,0.78,112.5,8.4,4,9,866,6
2019-04-01 14:00:00,19,1.5,104.70000000000002,8.1,64,16,2419,78
2019-05-07 14:00:00,14.899999999999977,1.1,112.2,8.4,34,14,1553,21
2019-06-04 13:50:00,11.199999999999989,6.8,100.2,8,116,15,687,23
2019-07-01 13:50:00,8.899999999999977,2.8,100.2,7.8,138,14,166,5
2019-08-05 14:00:00,9.199999999999989,10.2,100.9,8,123,20,214,31
2019-09-02 13:55:00,12.300000000000011,5.1,105.90000000000002,8.1,60,11,21,1
2019-10-01 13:50:00,13.5,9.2,108.3,8.3,55,17,575,35
2019-11-04 13:50:00,19.899999999999977,4.2,104.1,8.2,140,17,121,6
2019-12-03 13:50:00,20.600000000000023,2.1,120.40000000000002,8.7,2,11,980,12
2020-01-13 13:50:00,22.80000000000001,0.9,113.1,8.5,2,10,816,9
2020-02-10 13:55:00,24.100000000000023,0.55,125.50000000000001,8.7,1,11,687,3
2020-03-02 13:50:00,20.600000000000023,0.95,150.8,8.9,16,25,2419,28
2020-05-05 13:50:00,8,6.6,100.6,8.5,179,26,2419,276
2020-06-02 13:45:00,13.600000000000023,105,98.1,8,231,116,2419,517
2020-07-06 13:50:00,10.399999999999977,22.5,99.4,7.9,304,30,1553,44
2020-08-11 13:50:00,9.600000000000023,2.5,100,7.9,376,13,194,13
2020-09-01 13:55:00,13,6.4,106.8,8.1,129,11,45,4
2020-10-05 13:50:00,17,6.4,102.70000000000002,7.9,92,11,96,2
2020-11-02 13:50:00,19.30000000000001,3.6,109.59999999999998,8.3,22,10,129,16
2020-12-01 13:50:00,15,3.8,99.7,8,68,13,517,62
2021-01-11 13:50:00,23.600000000000023,5.2,108.90000000000002,8.4,25,14,921,22
2021-02-01 13:50:00,23.5,1.7,113.5,8.3,7,13,1046,31
2021-03-01 13:55:00,22.399999999999977,1.3,123.8,8.6,20,16,2419,48
2021-04-06 13:50:00,19.5,2.7,126.8,8.6,76,18,1203,75
2021-05-03 14:00:00,14.899999999999977,0.92,120.19999999999999,8.5,100,16,866,32
2021-06-01 14:00:00,11.5,6.8,100.9,8,65,4,579,20
2021-07-13 14:00:00,,3.2,,7.9,128,10,461,48
2021-09-14 14:30:00,12.899999999999977,2.8,104,8.4,13,7,130,18
2021-10-12 13:35:00,17.100000000000023,2.8,105.49999999999999,8.2,33,8,49,6
2021-11-09 13:35:00,19.600000000000023,36.8,103.1,8,74,47,1120,178
2021-12-14 14:00:00,20.100000000000023,19.1,103.8,8.1,31,20,2419,91
2022-01-25 13:55:00,22.399999999999977,3.2,112.3,8.3,12,20,2419,63
2022-02-15 14:20:00,20.69999999999999,25.1,99.9,8,110,32,2419,135
2022-03-14 13:50:00,19.5,0.62,109.59999999999998,8.5,8,9,579,79
2022-04-19 14:30:00,17.5,4.1,105.8,8.3,163,16,613,19
2022-05-09 14:20:00,14.399999999999977,1.1,108.90000000000002,8.4,5,11,1986,34
2022-06-14 13:50:00,10,322,98.7,7.9,96,407,3873,496
2022-07-19 14:00:00,9.5,32,98.4,8,289,56,687,71
2022-08-09 14:15:00,10.600000000000023,12.6,98.7,8,230,33,1414,240
2022-09-13 14:15:00,13.100000000000023,126,99,8,264,302,1354,249
2022-10-11 15:20:00,14.300000000000011,15.3,99.4,7.9,304,42,365,44
2022-11-09 15:10:00,16.80000000000001,1.7,125.29999999999998,9,2,8,517,16
2022-12-07 14:15:00,16.80000000000001,1.2,101.50000000000001,8.2,135,11,488,26
2023-01-17 14:00:00,20,67.9,98.4,8,323,138,2419,122
2023-03-14 14:15:00,18.19999999999999,24.6,100.29999999999998,8.2,283,30,2419,61
2023-05-09 14:50:00,14.800000000000011,62.1,95.8,8.3,175,30,727,32
2023-07-20 14:20:00,10,63.8,98.2,8,416,73,980,24
2023-08-16 14:35:00,10.399999999999977,13.2,106.8,8.1,208,15,27,1
2023-10-26 13:57:00,19.100000000000023,4.4,108.69999999999999,8.3,93,14,187,9
2023-11-21 13:55:00,17.30000000000001,74.9,100.50000000000001,8.2,238,68,2419,1300
2023-12-12 13:50:00,18.399999999999977,10.1,116.8,8.7,8,12,649,17
